GENERAL,GRUPOS,SUBGRUPOS,,
,,,,
N1,N2,N3,N4,N5
Financiero,,,,
DDP,,,,
Legal,,,,
Consultoria de gestión,,,,
Sistemas,,,,
Consultoría tecnológica,,,,
,Desarrollo,,,
,,Balanceadores de carga,,
,,,HAProxy,
,,Sistemas Operativos,,
,,,Linux,
,,Infraestructura como Código (IaC),,
,,,Terraform,
,,,Ansible,
,,,Puppet,
,,,Shell,
,,Redes y Servidores,,
,,,DNS,
,,,DHCP,
,,,VPN,
,,,NAT,
,,,Segmentación de redes,
,,,Tablas de enrutamiento,
,,,OpenVPN,
,,,NGINX,
,,,Apache http,
,,,Firewall,
,,Almacenamiento y Sistemas de Archivos,,
,,,Ficheros,
,,,Samba,
,,,FTP,
,,,Hadoop Distributed File System ( HDFS ),
,Sistemas Cloud – Iot,,,
,,MQTT,,
,,EMQX,,
,,Eclipse Mosquitto,,
,,Eclipse Paho,,
,,FreeRTOS,,
,,Análisis y Procesamiento de datos,,
,,,Drools,
,,,WSO2 Complex Event Processor,
,,,Apache Storm,
,,,Apache Flink,
,,,Apache Spark,
,,,Google TensorFlow,
,,,,
,,,,
,,Google Cloud,,
,,,Pub/Sub,
,,,App Engine,
,,AWS (Amazon Web Services),,
,,,Desarrollo de Aplicaciones,AWS CodeCommit
,,,,AWS CodeBuild
,,,,AWS CodeDeploy
,,,,AWS CodePipeline
,,,,AWS CodeArtifact
,,,,AWS Cloud Development Kit (CDK)
,,,,AWS CloudFormation
,,,Computación en la Nube,Amazon Elastic Compute Cloud (EC2)
,,,,Amazon Machine Images (AMI)
,,,,Amazon ECS + EC2
,,,,Amazon ECS + Fargate
,,,,Amazon EKS + EC2
,,,,Amazon EKS + Fargate
,,,,Amazon Route 53
,,,,Amazon VPC
,,,,Security Group
,,,,Network access control list (NACL)
,,,,NAT gateway
,,,,Internet Gateway
,,,,Elastic Load Balancing (ELB)
,,,,AWS Site-to-Site VPN
,,,,AWS Transit Gateway
,,,,AWS App Mesh
,,,Seguridad,AWS Identity and Access Management (IAM)
,,,,Policies and permissions in IAM
,,,,AWS IAM Identity Center
,,,,Amazon Cognito
,,,,AWS Security Token Service (STS)
,,,,Amazon GuardDuty
,,,,AWS Shield
,,,,AWS Security Hub
,,,,AWS Certificate Manager (ACM)
,,,,AWS Key Management Service (AWS KMS)
,,,,AWS Secrets Manager
,,,,AWS Systems Manager Parameter Store
,,,,AWS AppConfig
,,,,AWS WAF
,,,,AWS Network Firewall
,,,Bases de Datos,Amazon RDS
,,,,Amazon Aurora
,,,,Amazon DynamoDB
,,,,Amazon DocumentDB
,,,,Amazon Redshift
,,,,Amazon OpenSearch
,,,,Amazon ElastiCache
,,,,AWS Database Migration Service (AWS DMS)
,,,Almacenamiento,Amazon S3
,,,,Amazon EBS
,,,Internet de las Cosas (IoT),AWS IoT Core
,,,,AWS IoT Rule
,,,,AWS IoT Core Shadow
,,,,AWS IoT Core FleetIndexing
,,,,AWS IoT Device Manager
,,,,AWS IoT Greengrass
,,,,AWS IoT Core Jobs
,,,,AWS IoT Device Defender
,,,Monitoreo y Registro,Amazon CloudWatch Logs
,,,,Amazon CloudWatch Metrics
,,,,Amazon CloudWatch Alarms
,,,,AWS CloudTrail
,,,,AWS X-Ray
,,,,Amazon Managed Grafana
,,,Distribución de Contenido,Amazon CloudFront
,,,Gestión de Servicios y Automatización,AWS Control Tower
,,,,AWS Config
,,,,Políticas de control de servicios (SCP)
,,,,AWS Organizations
,,,,Account Factory
,,,Gestión de Servicios y Automatización,AWS Backup
,,,Análisis de Datos y Procesamiento,Amazon Athena
,,,,Kinesis Data Analytics
,,,,Glue
,,,,SageMaker
,,,,Amazon EMR
,,,,Amazon MSK
,,,,Amazon MQ
,,,,Amazon Kinesis Data Streams
,,,,Amazon Data Firehose
,,,Computación sin Servidor (Serverless),AWS Lambda
,,,,AWS Step Functions
,,,Mensajería y Notificaciones,Amazon Simple Notification Service (SNS)
,,,,Amazon Simple Queue Service (SQS)
,,,,Amazon EventBridge
,,,,Amazon Simple Email Service (SES)
,Azure,,,
,,,,
,Oficina Técnica,,,
,,QA,,
,,,Gestion de la calidad del código,
,,,Sonarqube,
,,,,Instalación
,,,,Administacion
,,,,Consultoría
,,,Sonarcloud,
,,,,Administración
,,,Gestión del testing,
,,,,Diseño de casos de prueba
,,,,Ejecución de las pruebas
,,,,Gestión de defectos
,,,,Metodologías de pruebas
,,Seguridad,,
,,,Dependency-check,
,,,,Admnistración
,,,,Consultoría
,,,ZAP Proxy,
,,,,Uso
,,,,Administración API
,,,,Consultoría
,,,Análisis de Vulnerabilidades,
,,,,Vulnerabilidades de código
,,,,Vulnerabilidades en sistemas
,,,,Consultoría
,,,Pentesting,
,,,,Aplicaciones
,,,,Sistemas
,,Arquitectura de SW,,
,,,Servidores de aplicaciones,
,,,,Tomcat
,,,,Weblogic
,,,,JbossAS
,,,,WildFly
,,,Microservicios,
,,,,Spring
,,,,Contenedores Kubernetes
,,,Desarrollo de Identificacion/Autorización,
,,,,CAS
,,,,Keycloak
,,Implantación DevSecOps,,
,,,Consultoria DevSecOps,
,,,Jira - On Prem,
,,,,Instalación
,,,,Administración
,,,,Consultoría
,,,Jira Cloud,
,,,,Administración
,,,,Consultoría
,,,Confluence,
,,,,Instalación
,,,,Administración
,,,,Consultoría
,,,Jenkins,
,,,,Instalacion
,,,,
,,,,
,,,Git Lab CI/CD,
,,,,Administración
,,,,
,,,GitHub Actions,
,,,,Administración
,,,Gitlab,
,,,,Instalación
,,,,Administración
,,,Nexus,
,,,,Administracion
,,,Contenedores de compilacion,
,,,Pipelines,
,,,,Jenkinsfile
,,,,Gitlab (YML)
,,,,GitHub
,,,Azure DevOps,Pipelines
,,,,Repos
,,,,Artifacts
,,Espacio Europeo de Datos,,
,,,IDSA,
,,,EDC,
,,Workflows,,
,,,OptimaJet,
,,,Elsa,
,,Comunicacion Tiempo real,,
,,,SignalR (.NET),
,,Asistencia a la programación IA,,
,,,Copilot,
